Team,P(qualify)%,Future,C20,C40,C60,C80,P20,P40,P60,P80
Spain,97.3,50.33,31.596,20.259,12.593,6.852,1.264,9.927,22.261,36.52
France,95.7,46.12,28.041,17.519,10.658,5.751,1.919,11.398,24.537,39.629
England,95.7,43.88,25.761,14.97,8.691,4.393,1.885,11.093,24.814,40.517
Portugal,96.7,41.02,23.144,13.259,7.472,3.731,2.121,12.235,26.449,42.707
Brazil,97.3,40.59,22.358,12.57,7.18,3.589,1.767,11.979,26.589,42.998
Argentina,96.7,40.32,22.439,13.068,7.321,3.603,2.123,12.753,27.006,43.288
Germany,97.3,36.44,18.232,9.631,5.132,2.373,1.79,13.189,28.69,45.932
Belgium,95.7,32.54,14.875,6.603,3.134,1.263,2.336,14.063,30.594,48.724
Netherlands,91.7,30.25,14.286,7.568,4.11,2.007,4.031,17.313,33.856,51.753
Switzerland,93.7,26.56,9.724,3.654,1.58,0.613,3.166,17.095,35.022,54.055
Mexico,91.7,26.15,9.825,3.953,1.851,0.77,3.673,17.8,35.699,54.618
Colombia,90.8,25.59,10.065,4.773,2.309,0.987,4.477,19.185,36.721,55.399
Norway,88.1,25.46,10.397,4.938,2.3,0.972,4.939,19.479,36.841,55.513
USA,86.3,23.86,8.998,3.734,1.692,0.725,5.133,19.869,37.828,56.861
Uruguay,89.9,22.97,8.184,3.614,1.605,0.632,5.218,20.648,38.639,57.666
Morocco,89.9,21.62,7.283,3.191,1.563,0.701,5.667,21.574,39.947,59.085
Ecuador,88.1,21.43,6.833,2.758,1.165,0.443,5.404,21.329,39.736,59.014
Croatia,82.3,21.03,7.175,3.07,1.366,0.539,6.145,22.039,40.336,59.509
Canada,84.7,19.61,5.152,1.49,0.555,0.198,5.544,21.883,40.948,60.591
Türkiye,80.0,19.49,5.939,2.219,0.969,0.399,6.444,22.724,41.475,60.904
Austria,86.3,19.12,5.597,2.271,1.007,0.402,6.48,23.154,41.89,61.285
Japan,76.5,18.95,6.544,3.113,1.634,0.794,7.596,24.165,42.685,61.846
Ivory Coast,84.7,17.69,4.461,1.58,0.608,0.238,6.769,23.888,42.916,62.546
Egypt,74.5,16.86,4.513,1.407,0.462,0.136,7.658,24.552,43.607,63.281
Senegal,67.5,15.37,4.194,1.588,0.634,0.251,8.819,26.214,45.26,64.876
Sweden,67.5,14.73,4.372,1.795,0.71,0.243,9.643,27.065,45.98,65.514
South Korea,71.5,14.15,2.938,0.74,0.248,0.085,8.784,26.587,46.094,65.932
Algeria,69.7,13.96,3.271,1.129,0.375,0.127,9.309,27.167,46.413,66.164
Czechia,67.5,13.68,2.818,0.705,0.237,0.081,9.138,27.025,46.556,66.401
Paraguay,61.3,13.38,3.264,1.151,0.478,0.192,9.883,27.769,47.097,66.811
Scotland,73.3,13.37,2.687,0.872,0.298,0.099,9.318,27.503,46.93,66.731
Iran,61.3,12.47,2.609,0.761,0.276,0.091,10.144,28.296,47.811,67.626
Bosnia & Herzegovina,65.0,12.4,2.071,0.532,0.212,0.086,9.668,28.129,47.809,67.683
Ghana,57.5,10.96,2.385,0.85,0.278,0.088,11.42,29.886,49.314,69.123
Australia,45.6,10.16,2.908,1.179,0.427,0.125,12.744,31.015,50.263,69.961
DR Congo,41.1,7.33,1.097,0.334,0.125,0.053,13.766,33.003,52.794,72.721
South Africa,37.3,6.67,0.827,0.235,0.114,0.054,14.153,33.56,53.44,73.38
Tunisia,34.2,6.27,0.925,0.306,0.123,0.057,14.656,34.037,53.853,73.787
Saudi Arabia,35.7,6.26,0.852,0.259,0.091,0.042,14.596,34.002,53.834,73.785
Panama,32.1,5.54,0.768,0.27,0.131,0.062,15.224,34.725,54.586,74.518
New Zealand,29.2,5.18,0.554,0.212,0.118,0.057,15.373,35.031,54.937,74.876
Uzbekistan,29.2,5.08,0.547,0.221,0.113,0.054,15.47,35.144,55.036,74.977
Cape Verde,22.9,4.65,0.46,0.21,0.121,0.059,15.807,35.557,55.469,75.407
Qatar,25.5,3.85,0.427,0.179,0.101,0.048,16.577,36.329,56.251,76.198
Jordan,20.2,3.32,0.46,0.28,0.16,0.076,17.137,36.957,56.837,76.753
Iraq,18.7,2.88,0.391,0.193,0.11,0.051,17.514,37.317,57.234,77.175
Haiti,8.7,2.27,0.256,0.16,0.092,0.045,17.99,37.894,57.826,77.779
Curacao,5.8,1.61,0.355,0.204,0.09,0.042,18.742,38.591,58.477,78.429
